Model,Accuracy,Balanced_Accuracy,Weighted_F1
LogisticRegression,0.9,0.3333333333333333,0.8526315789473683
RandomForest,0.9,0.3333333333333333,0.8526315789473683
LightGBM,0.9,0.3333333333333333,0.8526315789473683
CatBoost,0.9,0.3333333333333333,0.8526315789473683
NeuralNet,0.9,0.3333333333333333,0.8526315789473683
XGBoost_tuned,0.9,0.3333333333333333,0.8526315789473683
RandomForest_tuned,0.9,0.3333333333333333,0.8526315789473683
XGBoost,0.85,0.3148148148148148,0.827027027027027
StackingClassifier_tuned,0.8,0.2962962962962963,0.8
