iter	MultiClass
0	1.05625792
1	1.005074936
2	0.9741077861
3	0.9432434891
4	0.903806239
5	0.8727983443
6	0.8498198887
7	0.8285935167
8	0.8029868428
9	0.7702758961
10	0.7423133499
11	0.7263841251
12	0.7084102205
13	0.6895411811
14	0.6704413031
15	0.6531328224
16	0.6378414543
17	0.6173215138
18	0.5980746663
19	0.584857022
20	0.5693576658
21	0.5541445731
22	0.5406768768
23	0.528931578
24	0.5191983464
25	0.5112392558
26	0.4991262408
27	0.4910688925
28	0.480401204
29	0.4717817791
30	0.4614357438
31	0.4528556335
32	0.4434814266
33	0.4380536636
34	0.4294036093
35	0.4183756186
36	0.4089451173
37	0.4035524301
38	0.3954850765
39	0.3905698425
40	0.3845657219
41	0.378487325
42	0.3734360888
43	0.3670094937
44	0.3619301638
45	0.3571730572
46	0.3501901503
47	0.3457809615
48	0.3401840218
49	0.3331885338
50	0.3285867278
51	0.3235061134
52	0.3206583708
53	0.3155814812
54	0.3108949708
55	0.3058543196
56	0.301993473
57	0.298068447
58	0.2944775841
59	0.2905313331
60	0.2862744915
61	0.280432331
62	0.2757954079
63	0.2722318522
64	0.2687817365
65	0.2650166938
66	0.2607846372
67	0.2562223772
68	0.2531458243
69	0.2504272387
70	0.2467413248
71	0.2410326329
72	0.2383445419
73	0.234962647
74	0.2311850626
75	0.2284279099
76	0.2263824894
77	0.2242139988
78	0.2200302867
79	0.2188865149
80	0.2144371582
81	0.2126642004
82	0.211009299
83	0.2086247174
84	0.2056079844
85	0.2037629398
86	0.2013771729
87	0.1992794033
88	0.1969054884
89	0.1945802021
90	0.1919096302
91	0.1901097315
92	0.1877993
93	0.1859773116
94	0.1841406031
95	0.1819137614
96	0.1795505677
97	0.1771001181
98	0.1750902202
99	0.1728704907
100	0.1716593504
101	0.1694497561
102	0.1664449733
103	0.164867018
104	0.1635615752
105	0.1617390307
106	0.159585976
107	0.157901014
108	0.1566861157
109	0.1545033758
110	0.15272666
111	0.1514394557
112	0.1495563509
113	0.1482734501
114	0.1465055732
115	0.1451348
116	0.1432534564
117	0.1420551957
118	0.1411650553
119	0.1393502682
120	0.1379544727
121	0.1362988994
122	0.1348104219
123	0.1328578518
124	0.1315447689
125	0.1300541985
126	0.128826278
127	0.1277754597
128	0.1262307255
129	0.124999645
130	0.1236111173
131	0.1221693596
132	0.1213734832
133	0.120271808
134	0.1191767627
135	0.1182975544
136	0.1171361405
137	0.1162893983
138	0.1150711741
139	0.1139008897
140	0.1126625559
141	0.1118292654
142	0.1108647107
143	0.110014315
144	0.1091389632
145	0.1081166452
146	0.1070662599
147	0.1063366258
148	0.1055929616
149	0.104624537
150	0.1037215218
151	0.1027880138
152	0.1018964678
153	0.100939702
154	0.1000410192
155	0.09917581933
156	0.09854758426
157	0.09797074407
158	0.09712254637
159	0.09627959648
160	0.09559944432
161	0.09476161399
162	0.09412649653
163	0.0933824748
164	0.09270843636
165	0.09208537571
166	0.09145026753
167	0.09076733439
168	0.09009580892
169	0.08954507871
170	0.088936085
171	0.08829088474
172	0.08767879886
173	0.087011838
174	0.08634677415
175	0.08590579838
176	0.08537402692
177	0.08481740977
178	0.0842686817
179	0.08393436268
180	0.08335636768
181	0.08282234288
182	0.08223081177
183	0.08185231465
184	0.08132571196
185	0.08093709152
186	0.08035331236
187	0.07974932761
188	0.07914536844
189	0.07871524732
190	0.07817508552
191	0.07762288313
192	0.07722185794
193	0.0767272766
194	0.07616964592
195	0.07564262251
196	0.07523738187
197	0.0748545818
198	0.07432677274
199	0.07387079111
200	0.07339548952
201	0.07284802693
202	0.07250103479
203	0.07199277081
204	0.0714692533
205	0.07104853729
206	0.07048915254
207	0.07012914952
208	0.06973909914
209	0.06932509198
210	0.06898998567
211	0.06847972692
212	0.06810594383
213	0.06750490011
214	0.06699646601
215	0.06662390488
216	0.06621462262
217	0.06583940128
218	0.06551245682
219	0.06516426018
220	0.06473949863
221	0.06426630219
222	0.06394255755
223	0.06361631969
224	0.06328011573
225	0.06291437077
226	0.06267342563
227	0.06229063158
228	0.06196170398
229	0.06157265621
230	0.06125404048
231	0.06099687197
232	0.06061887614
233	0.0603036437
234	0.0600009001
235	0.0596479737
236	0.05931176412
237	0.05900736994
238	0.05862049296
239	0.05825101768
240	0.05797644136
241	0.05771283473
242	0.05736086592
243	0.05689424352
244	0.0565891807
245	0.05634132079
246	0.0560565875
247	0.05575268724
248	0.05544019479
249	0.05520674303
250	0.05494205283
251	0.05465781459
252	0.05436025764
253	0.05410820667
254	0.05385958231
255	0.05361715288
256	0.0533328302
257	0.05305667326
258	0.05278660948
259	0.05263216267
260	0.05235970164
261	0.05207949527
262	0.05184222755
263	0.05159549996
264	0.05129522436
265	0.0510449647
266	0.05083016969
267	0.0506162835
268	0.05036655667
269	0.05018028114
270	0.04988906981
271	0.04965974558
272	0.04945129556
273	0.04926925826
274	0.04900820013
275	0.04876446958
276	0.04855144419
277	0.04833541774
278	0.04813881115
279	0.04796013577
280	0.04772572562
281	0.04751177964
282	0.04732322708
283	0.04701770876
284	0.04680912363
285	0.04660712481
286	0.04642540436
287	0.04620189828
288	0.04596806269
289	0.04579682231
290	0.04562068446
291	0.04539886855
292	0.04517310273
293	0.0450257237
294	0.0448239031
295	0.04462511901
296	0.04446460849
297	0.04432199089
298	0.04414879181
299	0.04397348868
